iter	RMSE
0	0.1859023853
1	0.1790387884
2	0.1723665829
3	0.1665202957
4	0.1610292022
5	0.1561063742
6	0.1517875122
7	0.1477083918
8	0.1438224244
9	0.1404193322
10	0.1373115256
11	0.1344730752
12	0.1319334163
13	0.1297551908
14	0.127840145
15	0.1259511113
16	0.1242935559
17	0.1227105522
18	0.1212545833
19	0.1200157359
20	0.1188827963
21	0.1178715069
22	0.1169626122
23	0.1160739273
24	0.1153303077
25	0.1146171525
26	0.1139861002
27	0.1133805277
28	0.1128551093
29	0.1123747411
30	0.1118816856
31	0.1114707864
32	0.1110768234
33	0.1107049335
34	0.1102645762
35	0.1099653485
36	0.109705804
37	0.1094229514
38	0.1092197925
39	0.109000228
40	0.1087323349
41	0.1084567887
42	0.1081792047
43	0.1080074633
44	0.1078270324
45	0.107667193
46	0.1075125083
47	0.1073824982
48	0.1072545052
49	0.1071325342
50	0.1069571428
51	0.1067845467
52	0.1066665311
53	0.106555915
54	0.1064756235
55	0.1063936226
56	0.1062913439
57	0.1061905052
58	0.106116746
59	0.1060270409
60	0.1059630623
61	0.1058550372
62	0.1057729186
63	0.1057000916
64	0.1056494686
65	0.1055346159
66	0.1054802153
67	0.1054359729
68	0.1053487929
69	0.1052386141
70	0.1051882644
71	0.1051255886
72	0.1050777446
73	0.1050226408
74	0.1049713369
75	0.1049149389
76	0.1048362134
77	0.1047638335
78	0.104705361
79	0.1046472207
80	0.1045862472
81	0.1044993676
82	0.1044439203
83	0.104407831
84	0.1043517015
85	0.1043060826
86	0.1041940419
87	0.1041298912
88	0.1040741068
89	0.1040314037
90	0.103991269
91	0.1039237084
92	0.1038816046
93	0.1038375366
94	0.1038010097
95	0.103740566
96	0.1036827941
97	0.103621446
98	0.1035650852
99	0.1034723671
100	0.1034010761
101	0.1033729302
102	0.1033195282
103	0.103273288
104	0.1032430153
105	0.1031925867
106	0.103137218
107	0.1030863082
108	0.1030233914
109	0.1029883356
110	0.1029300098
111	0.1028617909
112	0.1028359837
113	0.1027930285
114	0.1027524774
115	0.1027230306
116	0.1026611856
117	0.1026257285
118	0.1025657052
119	0.102514511
120	0.1024596863
121	0.102425625
122	0.102385072
123	0.1023505882
124	0.1023118812
125	0.1022770918
126	0.1022403229
127	0.1021898354
128	0.1021474629
129	0.1021084196
130	0.1020612704
131	0.1020057716
132	0.1019518136
133	0.1019164766
134	0.1018519129
135	0.1017953967
136	0.1017715363
137	0.1017331948
138	0.1016801859
139	0.101647463
140	0.1016104885
141	0.1015670562
142	0.1015380529
143	0.1014713056
144	0.1014369411
145	0.1013985245
146	0.1013638485
147	0.1013273096
148	0.1012830427
149	0.1012514814
150	0.1012011346
151	0.1011818109
152	0.1011350785
153	0.1011044465
154	0.1010699
155	0.1010256764
156	0.1009931362
157	0.1009674917
158	0.1009345241
159	0.1009001353
160	0.1008752897
161	0.1008375555
162	0.1007944233
163	0.1007425854
164	0.1007065369
165	0.1006669727
166	0.1006346664
167	0.1006007004
168	0.1005556294
169	0.1004865088
170	0.1004672261
171	0.1004279433
172	0.1003728645
173	0.1003439719
174	0.1003107005
175	0.1002821807
176	0.1002620275
177	0.1002308528
178	0.1001919554
179	0.1001595166
180	0.1001294343
181	0.1001008311
182	0.1000555304
183	0.1000040221
184	0.09996707699
185	0.09993565449
186	0.09991534011
187	0.09989218058
188	0.09984092557
189	0.09980451738
190	0.09977731503
191	0.09975464777
192	0.09971999347
193	0.09967791272
194	0.09963920787
195	0.0996208178
196	0.09958738339
197	0.09955095097
198	0.09953056294
199	0.09949603761
200	0.09945542471
201	0.09942338191
202	0.09939699097
203	0.09936151
