iter	Passed	Remaining
0	58	58589
1	63	31511
2	67	22363
3	70	17647
4	75	14925
5	79	13202
6	86	12244
7	93	11646
8	103	11355
9	112	11123
10	122	11038
11	132	10909
12	151	11501
13	161	11366
14	165	10898
15	170	10509
16	179	10353
17	182	9970
18	186	9626
19	190	9330
20	194	9079
21	198	8824
22	202	8586
23	206	8382
24	209	8184
25	213	7990
26	217	7822
27	220	7659
28	224	7511
29	228	7373
30	231	7234
31	235	7114
32	239	7005
33	242	6892
34	246	6792
35	250	6696
36	253	6601
37	257	6512
38	260	6426
39	264	6338
40	268	6283
41	272	6213
42	275	6141
43	279	6070
44	282	6004
45	286	5938
46	290	5892
47	294	5838
48	297	5777
49	302	5742
50	306	5703
51	310	5667
52	317	5670
53	320	5622
54	325	5594
55	331	5594
56	336	5572
57	340	5528
58	343	5484
59	347	5443
60	351	5404
61	354	5366
62	358	5326
63	361	5292
64	366	5277
65	372	5269
66	377	5259
67	383	5251
68	389	5250
69	397	5277
70	401	5256
71	407	5246
72	412	5234
73	416	5206
74	419	5172
75	423	5143
76	426	5113
77	431	5096
78	434	5066
79	438	5040
80	441	5012
81	445	4987
82	449	4963
83	453	4940
84	456	4915
85	460	4896
86	465	4885
87	469	4868
88	473	4842
89	476	4818
90	480	4801
91	484	4779
92	488	4760
93	491	4738
94	495	4716
95	498	4698
96	502	4676
97	506	4659
98	509	4640
99	515	4639
100	519	4621
101	522	4601
102	526	4585
103	530	4572
104	534	4554
105	539	4546
106	542	4530
107	546	4512
108	549	4495
109	554	4485
110	559	4484
111	565	4484
112	576	4522
113	582	4526
114	589	4538
115	593	4521
116	596	4504
117	600	4488
118	604	4477
119	608	4460
120	611	4443
121	615	4426
122	618	4411
123	622	4398
124	627	4392
125	631	4378
126	634	4363
127	638	4348
128	642	4334
129	645	4320
130	648	4304
131	653	4297
132	657	4282
133	660	4267
134	663	4253
135	668	4246
136	673	4240
137	676	4225
138	680	4214
139	683	4200
140	687	4186
141	690	4174
142	694	4161
143	697	4147
144	701	4133
145	704	4120
146	707	4107
147	711	4094
148	715	4085
149	720	4080
150	723	4069
151	728	4064
152	732	4052
153	736	4043
154	739	4031
155	742	4019
156	747	4011
157	750	4000
158	754	3988
159	757	3978
160	761	3969
161	765	3961
162	771	3962
163	777	3965
164	787	3982
165	794	3990
166	800	3994
167	807	4000
168	813	3998
169	822	4015
170	833	4039
171	846	4076
172	858	4102
173	906	4301
174	912	4302
175	917	4294
176	922	4288
177	927	4281
178	931	4274
179	937	4270
180	941	4262
181	946	4254
182	954	4260
183	959	4256
184	964	4247
185	969	4243
186	974	4238
187	979	4229
188	984	4226
189	988	4214
190	999	4233
191	1003	4221
192	1007	4212
193	1011	4200
194	1014	4189
195	1018	4177
196	1026	4183
197	1030	4172
198	1035	4168
199	1044	4177
200	1054	4191
201	1062	4197
202	1068	4195
203	1072	4184
204	1076	4172
205	1079	4160
206	1083	4149
207	1086	4136
208	1090	4125
209	1093	4113
210	1097	4103
211	1100	4091
212	1104	4081
213	1108	4073
214	1112	4061
215	1115	4049
216	1119	4038
217	1123	4028
218	1127	4020
219	1130	4009
220	1134	4000
221	1138	3988
222	1141	3977
223	1145	3967
224	1148	3956
225	1152	3945
226	1155	3934
227	1158	3923
228	1162	3913
229	1166	3904
230	1169	3893
231	1172	3882
232	1176	3872
233	1180	3864
234	1183	3854
235	1187	3843
236	1190	3833
237	1194	3824
238	1197	3814
239	1201	3804
240	1205	3795
241	1208	3785
242	1212	3776
243	1215	3766
244	1218	3756
245	1222	3747
246	1226	3737
247	1229	3728
248	1233	3719
249	1240	3720
250	1246	3718
251	1255	3728
252	1265	3736
253	1273	3739
254	1278	3734
255	1283	3729
256	1287	3722
257	1292	3716
